Year,Mean_N,CI_Lower,CI_Upper
2010,320.91720991665613,317.6492816377105,324.1851381956018
2011,317.41160768676514,314.1950974214752,320.62811795205505
2012,313.38708811045325,310.01485602916614,316.75932019174036
2013,318.13693650857704,314.92767873879524,321.34619427835884
2014,316.1341581005315,312.9252965074413,319.3430196936217
2015,317.3802853624666,314.2098398015879,320.5507309233453
2016,315.4276842644545,312.0455673765833,318.80980115232575
2017,317.1542244983954,313.8298104425711,320.47863855421974
2018,314.9731723798183,311.74008870556844,318.2062560540682
2019,319.5501292500049,316.22423212836986,322.8760263716399
2020,322.0305561339604,318.9271247487724,325.1339875191483
2021,321.39767605544574,318.3233212579781,324.4720308529134
2022,316.5562648443888,313.28614317963826,319.82638650913935
2023,317.1518605857788,313.932405431698,320.37131573985965
2024,319.2304710247327,315.8788823505493,322.5820596989161
2025,318.01506244572147,314.6853774814571,321.3447474099858
