Year,Mean_dNdh,Std_dNdh
2010,-75.3581554904676,32.10296180174115
2011,-74.39986577780567,27.059681418439766
2012,-78.53613859874532,27.92734927952997
2013,-74.30694236950414,29.12995870102671
2014,-75.01617178021785,31.38791373939558
2015,-74.29803138548229,27.388183448741703
2016,-80.25422305290978,35.62085412313481
2017,-78.18225736783384,30.863642215347845
2018,-79.45086560546196,35.107072513579574
2019,-74.05633306272114,32.29513745570464
2020,-72.4932896990514,29.8496587931006
2021,-74.69629595691931,31.44673212797672
2022,-75.79912413290046,33.494168026815366
2023,-73.9353841478244,26.920217538096004
2024,-77.89065055304611,33.803663167031495
2025,-75.23765640263578,33.57698451617541
